STATE,CITY,US REGION,US DISTRICT,AIRPORT CODE(S),AIRPORT DISTANCE (MI),MONTH,DATES,EVENT NAME,EVENT TYPE,EVENT URL,EVENT DESC URL 1,EVENT DESC URL 2,ANNIV/START YEAR,REVIEWS 1,REVIEWS - SOCIAL,WHAT TO DO?,EVENT DESC (1 SC),GOOD 4 KIDS?,ADMISSION (FREE/FEE),FEE DETAIL,TICKET LINK 1,TICKET LINK 2,WEBSITE CALIBER,LOC ATTR 1 - FOOD,ATTR 1 URL,LOC ATTR 2 - LEARN,ATTR 2 URL,LOC ATTR 3 - ACTIVE,ATTR 3 URL,LOC ATTR 4 - ARTS,ATTR 4 URL,CVB Contact,TOWN FUN FACT,EVENT URL,1ST EVENT THEME,EVENT MONTH COUNT,SEASON,Outreach dates,Last contact,Committed for Partner Portal,Commitment Comments,EVENT CONTACT NAME,PRIMARY EVENT CONTACT INFO,EVENT CONTACT INFO,CREDENTIALS SENT?,FOLLOW UP TO CREDENTIALS,TARGET DEMOGRAPHIC,EVENT COST,NEAREST AIRPORT,SECONDARY AIRPORT,MILES TO NEAREST AIRPORT,MILES TO SECOND AIRPORT,MASS TRANSIT AVAILABLE,EVENT URL JUN 7 2020
South Dakota,Rapid City,Midwest,West North Central,"RAP, CDR","11, 101",May,Mid May,Great American Book Festival,"Arts, Cultural Festival",http://www.gabfest.info/,http://www.gabfest.info/,http://www.gabfest.info/Saturday_BookFest_Schedule.html,Founded in 2017. 3rd annual in 2019.,,https://web.facebook.com/GreatAmericanBookFestival/?_rdc=1&_rdr,"LEARN, A&E",The festival is open to the public and authors from all genres are invited to participate along with related vendors and food purveyors.,YES,FREE,,,https://web.facebook.com/pg/GreatAmericanBookFestival/about/?ref=page_internal,FAIR,"Bistro at the Black Forest, Colonial House, Murphy's Pub & Grill, Piesano’s Pacchia","https://www.blackforestinn.net/, http://colonialhousernb.com/, http://www.murphyspubandgrill.com/, http://www.piesanospacchia.com/","The Journey Museum & Learning Center, Mount Rushmore","http://www.journeymuseum.org/visit, https://www.visitrapidcity.com/mount-rushmore-national-memorial","Badlands National Park, Custer State Park, Skyline Wilderness Area","https://www.nps.gov/badl/index.htm, https://gfp.sd.gov/parks/detail/custer-state-park/, https://www.travelsouthdakota.com/business-detail/skyline-wilderness-area?cid=32","Dahl Art Center, Art Alley, Memorial Park Berlin Wall Exhibit, Dinosaur Park","https://www.thedahl.org/, https://www.visitrapidcity.com/things-to-do/arts-culture/art-alley, https://www.visitrapidcity.com/things-to-do/attractions/memorial-park-berlin-wall-exhibit, https://www.visitrapidcity.com/things-to-do/attractions/dinosaur-park-gift-shop-visitors-center",https://www.visitrapidcity.com/plan-your-trip/about-visit-rapid-city,"Rapid City is the gateway to Mount Rushmore, the Black Hills, and the Badlands.",http://www.gabfest.info/index.html,LEA,7,SUMMER,"1/2/2018, 2/7/2018, 3/29/2018",5/2/2018,YES,"5/1/18 Diana confirmed, 2/7/18 sent partner handout","Diana, Festival created by founders of the Literary Classics Book Awards and Reviews",LITERARYCLASSICS@LIVE.COM,"(605) 923-8422, LITERARYCLASSICS@LIVE.COM",YES,,,,,,,,,http://www.gabfest.info/
South Dakota,Sioux Falls,Midwest,West North Central,"FSD, SUX","7, 94",Jan,Late Jan,Sioux Empire on Tap,,https://americaontap.com/event/sioux-empire-on-tap/,https://americaontap.com/event/sioux-empire-on-tap/,https://americaontap.com/faqs/,Founded in 2015. 5th annual in 2019.,,https://www.facebook.com/SiouxEmpireOnTap/,"TASTEBUDS, A&E",Sample 120+ craft beers from over 60 breweries!,NO,FEE,$30-$35 event general (websites do not show prices if event has passed but in this price range). $50-$55 event premium (VIP).,https://americaontap.com/event/sioux-empire-on-tap/,,GOOD,info@americaontap.com,americaontap.com/event/sioux-empire-on-tap/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://americaontap.com/event/sioux-empire-on-tap/
South Dakota,Sioux Falls,Midwest,West North Central,"FSD, SUX","6, 94",Jul,Mid Jul,Sioux Falls Jazz and Blues Fest,Music Festival,http://www.siouxfallsjazzfest.com/,http://www.siouxfallsjazzfest.com/,,Founded in 1992. 28th annual in 2019.,,https://web.facebook.com/SFJBJazzFest/?_rdc=1&_rdr,A&E,"JazzFest is a two-day outdoor musical event, featuring two stages of music and is FREE to the public. In addition to the great music, there is also food and art vendors, beer and wine gardens, arts and crafts, fireworks and more!",NA,FREE,,http://www.siouxfallsjazzfest.com/festival-info/about-jazzfest/,,GREAT,,,,,,,,,,,http://www.siouxfallsjazzfest.com/,A&E,11,FALL,"10/24/2016, 11/30/2016, 2/13/2017, 11/1/2017",,,,,,"info@sfjb.org, 605-335-6101",,,,,,,,,,http://www.siouxfallsjazzfest.com/
South Dakota,Sturgis,Midwest,West North Central,"RAP, GCC","40, 119",Aug,Early/Mid Aug,Sturgis Motorcycle Rally,Cultural Festival,http://www.sturgismotorcyclerally.com/,http://www.sturgismotorcyclerally.com/,https://www.sturgismotorcyclerally.com//faq-and-stats/,Founded in 1938. 79th annual in 2018.,,https://www.facebook.com/sturgisrally,A&E,"10 days/nights of riding, food and music. 500,000 riders, concert fanatics, and street-food enjoyers attend the Sturgis Motorcycle Rally every year.",NO,FEE,$245-$345 event general (general ad depends on no. of days).,http://sturgismotorcyclerally.com/events/,https://www.rallytickets.com/sturgis/browse.aspx#/category/133/name/Campground%20Admission%20Pass,GOOD,,,,,,,,,,,http://www.sturgismotorcyclerally.com/,A&E,5,SPRING,"9/19/2016, 10/31/2016, 11/28/2016, 2/13/2017, 11/1/2017",,,,The City Of Sturgis Rally and Events Department,info@sturgismotorcyclerally.com,"605-720-0800, info@sturgismotorcyclerally.com",,,,,,,,,,http://www.sturgismotorcyclerally.com/
South Dakota,Yankton,Midwest,West North Central,"SUX, FSD","71, 83",Aug,Mid Aug,Yankton Riverboat Days & Summer Arts Festival,Community/Arts Festival,http://www.riverboatdays.com/,http://www.riverboatdays.com/,https://www.riverboatdays.com/schedule,Founded in 1984. 36th annual in 2019.,,https://web.facebook.com/Yankton-Riverboat-Days-Summer-Arts-Festival-57884213918/?_rdc=1&_rdr,A&E,"An annual community celebration held in Yankton's Riverside Park and around town. The festival includes art and craft shows, food, live music, a Saturday morning parade, carnival and kids entertainment, and fireworks Saturday night. Riverboat Days is held in conjunction with the Summer Arts Festival located in Riverside Park.",YES,FREE,,,https://www.eventcrazy.com/Yankton-SD/events/details/22874-Yankton-Riverboat-Days-and-Summer-Arts-Festival,GOOD,,,,,,,,,,,http://www.riverboatdays.com/,A&E,9,SUMMER,"10/24/2016, 11/30/2016, 2/13/2017, 11/1/2017",,,,,office@riverboatdays.com,"office@riverboatdays.com, 605-665-1657",,,,,,,,,,http://www.riverboatdays.com/
Wisconsin,Appleton,Midwest,East North Central,"ATW, GRB","5, 28",Feb,Mid Feb,Wildwood Film Festival,Film Festival,https://www.wildwoodfilmfestival.com/,https://www.wildwoodfilmfestival.com/,https://www.wildwoodfilmfestival.com/news,Founded in 2002. 18th annual in 2019.,,https://www.facebook.com/wildwoodfilmfest,A&E,"The Wildwood Film Festival is a festival for Wisconsin films only. Whether it's the primary creative personnel (producer/director/writer), the actors or even the locations, all projects featured have direct ties to the state.",YES,FEE,,https://www.ticketmaster.com/Wildwood-Film-Festival-tickets/artist/1522523#!,,FAIR,Mark's East Side,http://markseastside.com,The History Museum at the Castle,http://www.myhistorymuseum.org/,Butterfly Gardens,http://www.butterflygardensofwisconsin.com/Butterfly_Gardens_of_Wisconsin.com/Welcome.html,The Trout Museum of Art,http://www.troutmuseum.org/,https://www.appleton.org/visitors,Appleton was recently rated one of the 10 kid-friendliest cities in the country and a must-see summer destination,http://www.wildwoodfilmfest.com/,A&E,1,WINTER,"10/17/2016, 11/30/2016, 1/3/2017",,PENDING - follow up when site live,11/30 Jason responded and sent partner handout,Jason Buss,wildwoodfilmfestival@gmail.com,wildwoodfilmfestival@gmail.com,,,,,,,,,,https://www.wildwoodfilmfestival.com/
Wisconsin,Arcadia,Midwest,East North Central,"LSE, EAU, MSP","42, 49, 137",Aug,Late Aug,R U Chicken Trail Run,,https://www.ruchickenrun.com/,https://www.ruchickenrun.com/race-information.html,https://www.ruchickenrun.com/,Founded in XXXX.,,Not Found,ACTIVE,"It’s off road running as it should be with nothing your way but Mother Nature. Race distances of 2.3, 7.8 and ½ mile, allow participants to run on the BEST Cross Country trails in the area and enjoy beautiful scenery, great hills and lots of encouragement, followed by chicken soup around the fire after crossing the finish. Youth 13 & under FREE!",YES,FEE,$35-$45 event general (early bird discounts + kids $0-$10).,https://www.ruchickenrun.com/register.html,,FAIR,info@grandbluffrunning.com,ruchickenrun.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ruchickenrun.com/
Wisconsin,Ashland,Midwest,East North Central,"DLH, RHI","76, 117",Nov,Early Nov,Big Water Film Festival,,http://bigwaterfilmfestival.org/,http://bigwaterfilmfestival.org/,https://bigwaterfilmfestival.org/frequently-asked-questions/,Founded in 2008. 12th annual in 2019.,,https://www.facebook.com/Big-Water-Film-Festival-142344702473895/,A&E,"See a variety of shorts, full-length films and documentaries at the Bay Theater downtown.",YES,FEE,$8 event general (ticket cost).,http://bigwaterfilmfestival.org/order-tickets/,,GOOD,,,,,,,,,,,http://bigwaterfilmfestival.org/,A&E,10,FALL,,,,,,,,,,,,,,,,,http://bigwaterfilmfestival.org/
Wisconsin,Ashland,Midwest,East North Central,"DLH, CWA","76, 178",Jan,Mid Jan,Sleigh & Cutter Rally,,https://www.visitashland.com/events/northwoods-harness-sleigh-cutter-rally/,https://www.visitashland.com/events/northwoods-harness-sleigh-cutter-rally/,http://northwoods-harness.org/?page_id=813,Founded in XXXX. 33rd annual in 2019.,,Not Found,ACTIVE,Antique sleighs and drivers in 19th-century costumes gather at Northern Great Lakes Visitor Center and offer rides.,YES,FREE,$0 event general.,,,FAIR,,,,,,,,,,,https://www.visitashland.com/events/northwoods-harness-sleigh-cutter-rally/,ACT,9,SUMMER,,,,,,,715-682-2500,,,,,,,,,,https://www.visitashland.com/events/northwoods-harness-sleigh-cutter-rally/
Wisconsin,Bayfield,Midwest,East North Central,"DLH, RHI","91, 140",Oct,Early Oct,Bayfield Apple Festival,,https://www.bayfield.org/festivals-events/bayfield-apple-festival/,https://www.bayfield.org/festivals-events/bayfield-apple-festival/,https://bayfield.org/festivals-events/bayfield-apple-festival/schedule-of-events/,Founded in XXXX. 57th annaul in 2018.,,https://www.facebook.com/Bayfield.WI,"TASTEBUDS, A&E","Special events include the crowning of the Apple Queen, and apple peeling contest and a Saturday evening fish fry at the historic Bayfield Lakeside Pavilion. The festival culminates with the Grand Parade, featuring a mass band with 400 participants playing On Wisconsin, marching down historic Rittenhouse Avenue, to Lake Superior.",YES,FREE,$0 event general.,,,FAIR,,,,,,,,,,,https://www.bayfield.org/festivals-events/bayfield-apple-festival/,TAS,5,SPRING,,,,,,,kelley@bayfield.org,,,,,,,,,,https://www.bayfield.org/festivals-events/bayfield-apple-festival/
Wisconsin,Beloit,Midwest,East North Central,"RFD, MSN","33, 56",Feb/Mar,Late Feb/Early Mar,Beloit International Film Festival,Film Festival,http://beloitfilmfest.org/,http://beloitfilmfest.org/,,Founded in 2006. 14th annual in 2019.,,https://www.facebook.com/beloitfilmfest,A&E,Wonderful outdoors movie film festival for all ages to enjoy.,YES,FEE,Pay per movie,https://beloitfilmfest.org/ticket-info/,,GOOD,Beloit Farmer's Market,http://downtownbeloit.com/us/farmers-market-2/,Angel Museum,http://www.angelmuseum.org/,Rock River Trail,http://rockrivertrail.com/,Wright Museum of Art,https://www.beloit.edu/wright/,https://visitbeloit.com/,"Beloit was originally named New Albany (after Albany, Vermont) in 1837 by its founder, Caleb Blodgett. The name was changed to Beloit in 1838. The name Beloit was coined to be reminiscent of Detroit.",http://beloitfilmfest.org/,A&E,11,FALL,2/28/2018,2/28/2018,,,,,"max@beloitfilmfest.org, service@beloitfilmfest.org, 608-312-4256 (Max), 608-466-9693",,,,,,,,,,http://beloitfilmfest.org/
Wisconsin,Burlington,Midwest,East North Central,"MKE, ORD","31, 67",May,Late May,Chocolate Fest,Food Festival,http://www.chocolatefest.com/,http://www.chocolatefest.com/,http://chocolatefest.com/story/,Founded in 1987. 33rd annual in 2019.,,https://www.facebook.com/BurlingtonChocolatefest,TASTEBUDS,"ChocolateFest focus on family fun thru a carnival like atmosphere filled with roving performers, a wide variety of bands and entertainment, lumber jacks, puppet shows, candy wrapper fashion show, chocolate carving contests, vendor demonstrations, samples, great food, rides, and tons of chocolate!",YES,FREE,"$8 adults, $5 kids 5 to 12 years old, 4 and younger free ($1 off for advanced ticket purchases)",http://chocolatefest.com/ticket-sales/,,GOOD,AepelTreow Winery & Distillery,http://aeppeltreow.com/,Geneva Lake Museum of History,http://genevalakemuseum.org/,Seven Waters Bike Trail,https://www.traillink.com/trail/seven-waters-bike-trail/,The Cathe Center,https://www.catheonline.org/,https://www.burlington-wi.gov/9/Visiting,"Burlington is nicknamed ""Chocolate City, U.S.A."", because of the Nestlé chocolate factory built there in 1966. It is also home to an annual ChocolateFest on Memorial Day weekend.",http://www.chocolatefest.com/,TAS,11,FALL,"11/30/2015, 12/15/15, 4/27/2016, 9/26/2016, 10/31/2016, 11/28/2016, 2/13/2017, 11/1/2017, 1/8/2018, 1/12/2018",,NO,1/11/18 Dana Roberts responded and said ChocolateFest does not want to participate; 1/8/18 Bill Stone replied and referred me to Bil Scherrer,"Darin Tiedt (Sponsorship), Linda Fellenz (Marketing), Bil Scherrer (Chairman), Dana Robers (Committee Member)","dana.roberts@cruiseplanners.com, bils@att.net","sponsorship@chocolatefest.com, marketing@chocolatefest.com, chairman@chocolatefest.com, contact@chocolatefest.com, bils@att.net, dana.roberts@cruiseplanners.com",,,,,,,,,,http://www.chocolatefest.com/
